smiles,pred_0,pred_1,pred_2
C(COCCOCCOCCOCCOCCOCCOCCOCCOCCOCCO)O,-0.18693060268835318,0.15555886854737574,0.3477885029012525
C(COCCOCCOCCOCCOCCOCCOCCO)O,-0.18354577873959024,0.15960074590964632,0.35176617823376033
C(COCCOCCOCCOCCOCCOCCOCCOCCOCCO)O,-0.18593057141236577,0.1573856143901664,0.349695052351016
C(COCCOCCOCCOCCOCCOCCOCCOCCO)O,-0.18482408904151448,0.15852868637137965,0.35084281722942245
C(COCCOCCOCCOCCOCCOCCO)O,-0.18208106951492586,0.1606459742963142,0.352438642296119
C(COCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCO)O,-0.1932551677447937,0.1416717495305064,0.3369415907480878
C(COCCOCCOCCOCCOCCOCCOCCOCCOCCO)O,-0.18593057141236577,0.1573856143901664,0.349695052351016
C(COCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCO)O,-0.1932551677447937,0.1416717495305064,0.3369415907480878
C(COCCOCCOCCOCCOCCO)O,-0.1805518014561199,0.1613283385021815,0.3525695898626497
CC1(CC(CC(N1)(C)C)O)C,-0.0883660029706814,0.31598067849184497,0.3701704220667413
COCCOCCOCCOCCOCCO,-0.1542100291864073,0.2719913356579192,0.42301119147784905
C(COCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCO)O,-0.18673932214037142,0.24005451925745022,0.4277313183317236
C(COCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCO)O,-0.18796393984207033,0.15334836000061602,0.345524138461394
C(COCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCO)O,-0.19131095098558318,0.1462855322734557,0.34010188301123256
