smiles,pred_0,pred_1,pred_2,pred_3,pred_4,pred_5,pred_6,pred_7,pred_8,pred_9,pred_10,pred_11
C(COCCOCCOCCOCCOCCOCCOCCOCCOCCOCCO)O,0.0060402145609259605,0.000804451119620353,4.9230722652282566e-05,0.00023522709670942277,0.05285695195198059,0.0013839435996487737,6.689662404824048e-05,0.01340486854314804,6.569897232111543e-05,0.00030239048646762967,0.00016101263463497162,0.00012987804075237364
C(COCCOCCOCCOCCOCCOCCOCCO)O,0.005491508170962334,0.0006266781128942966,3.761431071325205e-05,0.0001498641213402152,0.056435275822877884,0.0012970423558726907,4.4636439270107076e-05,0.010254770517349243,3.628144258982502e-05,0.0002284219372086227,9.41771431826055e-05,7.705074676778167e-05
C(COCCOCCOCCOCCOCCOCCOCCOCCOCCO)O,0.005891378503292799,0.0007464521331712604,4.567687938106246e-05,0.000204709023819305,0.053902022540569305,0.001346627133898437,5.8786255976883695e-05,0.012368112802505493,5.497507663676515e-05,0.00027567308279685676,0.00013746954209636897,0.00010999271762557328
C(COCCOCCOCCOCCOCCOCCOCCOCCO)O,0.005708066280931234,0.0006866182084195316,4.164957135799341e-05,0.00017668312648311257,0.055056966841220856,0.0013205430004745722,5.148426862433553e-05,0.011294904164969921,4.497437475947663e-05,0.0002509198966436088,0.00011500463733682409,9.245012915926054e-05
C(COCCOCCOCCOCCOCCOCCO)O,0.005248915404081345,0.0005656044231727719,3.3656921004876494e-05,0.00012445265019778162,0.0580718107521534,0.0012745647691190243,3.822218786808662e-05,0.009234054945409298,2.87591501546558e-05,0.000207710123504512,7.522022497141734e-05,6.353012577164918e-05
C(COCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCO)O,0.006355151999741793,0.0010130680166184902,6.41785009065643e-05,0.00037070148391649127,0.050853289663791656,0.001544789643958211,0.00010257023677695543,0.016962260007858276,0.00011573280062293634,0.0004109200381208211,0.0002602834429126233,0.00023095901997294277
C(COCCOCCOCCOCCOCCOCCOCCOCCOCCO)O,0.005891378503292799,0.0007464521331712604,4.567687938106246e-05,0.000204709023819305,0.053902022540569305,0.001346627133898437,5.8786255976883695e-05,0.012368112802505493,5.497507663676515e-05,0.00027567308279685676,0.00013746954209636897,0.00010999271762557328
C(COCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCO)O,0.006355151999741793,0.0010130680166184902,6.41785009065643e-05,0.00037070148391649127,0.050853289663791656,0.001544789643958211,0.00010257023677695543,0.016962260007858276,0.00011573280062293634,0.0004109200381208211,0.0002602834429126233,0.00023095901997294277
C(COCCOCCOCCOCCOCCO)O,0.004990575835108757,0.0005017888033762574,2.9602535505546257e-05,0.00010037048195954412,0.06000005081295967,0.0012605175143107772,3.211298098904081e-05,0.008226750418543816,2.2408772565540858e-05,0.00018875948444474488,5.7916480727726594e-05,5.15437604917679e-05
CC1(CC(CC(N1)(C)C)O)C,6.12274743616581e-05,5.417631996351702e-07,4.351996267359937e-06,6.304894668573979e-07,0.003633847227320075,1.7648848370299675e-05,4.0042277826835004e-10,4.73499640065711e-05,9.340825890546967e-10,8.612890269432683e-06,4.5893116862316674e-07,2.2804373500662223e-08
COCCOCCOCCOCCOCCO,0.00835859589278698,0.0010058480547741055,0.00028431267128326,0.00013460664195008576,0.05109867453575134,0.0012265314580872655,1.9587690985645168e-05,0.006289577577263117,0.0001821379119064659,0.0012407522881403565,4.1862567741191015e-05,0.00030982083990238607
C(COCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCO)O,0.005536456126719713,0.0007466320530511439,0.00020443304674699903,0.000424154510255903,0.16638416051864624,0.013569679111242294,0.00018166891823057085,0.05128014087677002,0.00035488823777996004,0.0011044323910027742,0.0002238026645500213,0.0002581245207693428
C(COCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCO)O,0.006152670830488205,0.0008592525846324861,5.287255407893099e-05,0.0002671214169822633,0.052044548094272614,0.0014225947670638561,7.533738244092092e-05,0.01435342151671648,7.702988659730181e-05,0.0003287004947196692,0.0001848871324909851,0.00015148575766943395
C(COCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCO)O,0.006315555423498154,0.0009653198067098856,6.03612934355624e-05,0.00033493380760774016,0.051101379096508026,0.0015031162183731794,9.318581578554586e-05,0.01614743284881115,0.00010216425289399922,0.00038292730459943414,0.000234259307035245,0.00020186384790576994
